dir,entry_idx,exit_idx,entry,exit,pnl,balance
LONG,13645,13647,64861.47,64770.66394200001,-11.765870350690271,604.6212722248547
SHORT,13660,13669,64615.38,64486.14924,9.075365296094933,610.6735311598253
LONG,13738,13740,63787.99,63915.56598,9.15399623208592,616.7741597361121
SHORT,13828,13831,63704.33,63793.51606200001,-11.723026454105051,601.9672624833265
LONG,13847,13849,63785.99,63913.56198,9.023489264625125,607.980915435535
SHORT,13886,13897,64206.52,64296.409128,-11.555893259683456,593.3851175986739
SHORT,13911,13912,63950.0,64039.530000000006,-11.278470930198562,579.139721080482
LONG,13935,13937,64004.0,63914.394400000005,-10.999600722481173,565.2444217525983
LONG,13948,13952,64102.01,64012.267186000005,-10.735687302346873,551.6825123414885
SHORT,14077,14078,66909.67,67003.343538,-10.485829512074899,538.4382702677061
SHORT,14089,14097,66964.54,66830.61091999999,8.08195843671841,543.828037353086
LONG,14116,14117,66744.18,66650.73814799999,-10.328925913447453,530.779971252873
LONG,14260,14270,66540.0,66446.844,-10.081103994006032,518.0449674026025
LONG,14282,14288,66565.32,66698.45064000001,7.765494061365248,523.2202366269548
SHORT,14337,14338,67409.99,67504.36398600001,-9.944847037568994,510.65928840625105
SHORT,14349,14354,67220.01,67314.11801399999,-9.706101094737434,498.39989086948236
SHORT,14410,14415,67027.47,67121.308458,-9.47308672575613,486.43480468937884
LONG,14500,14511,66815.01,66948.64001999999,7.291657722293563,491.2942883882255
SHORT,14529,14537,66900.0,66766.2,7.374327268707479,496.21214421499184
LONG,14547,14552,66968.93,66875.17349799999,-9.424557255075623,484.30652623884123
SHORT,14563,14568,66715.92,66809.322288,-9.205214144221475,472.6797794634255
LONG,14635,14636,67456.0,67361.5616,-8.977607051348778,461.33877351475957
SHORT,14683,14686,68000.0,68095.20000000001,-8.768666068195826,450.2634135789899
SHORT,14856,14857,67098.01,67191.947214,-8.558156701896202,439.45393980919874
LONG,14885,14886,67001.86,66908.057396,-8.346548678795902,428.91012143135686
LONG,15008,15022,67604.0,67509.3544,-8.14628993634598,418.61928088785413
